userName,at,content
ranggajr rangga,2024-10-27 15:44:19,gem yang bagus saya kesi bintang lima
Aneska Novelia E'sport,2024-10-27 15:43:09,Kenapa sekarang Montong sudah gak pernah update magic ches ....? Padahal kan permainanya asik
Nayla Ikhsan,2024-10-27 15:42:18,Seru
putr1 05,2024-10-27 15:42:01,Lord nya anjay gada ot4k bertiga demegnya gak main2 saya sebagai pelayer ml sangat kecewaa!!! Tolong montin hapus pengikut lord
Ridwan Maulana,2024-10-27 15:41:31,Sistem gacha sampah epic masih banyak yang belum dapet tapi dapet duplikat terus!!! Paten bintang satu 🫰 Emang bener sistem report nya dongo harus di cantumin!!!
Di Kenzi,2024-10-27 15:40:31,Game nya bug terus dan Moonton pilih kasih
Dwi Bia,2024-10-27 15:40:25,KENAPA DIKASIH TIM DARK SISTEM TERUSS KESALLL🤯🤯🤯
Atep aryo11,2024-10-27 15:40:16,Game aneh setiap ada apdetan pasti lag Padahal sinyal mah bagus
Rino Aji hermansyah,2024-10-27 15:39:31,Kasih tim yang bener lah tood.skin elit matching sulit
Pengguna Google,2024-10-27 15:38:32,ga pernah ngasih tim yang seimbang selalu kasih darksistem dalam tim
Adi Prasetya,2024-10-27 15:37:50,Jangan main game ini saya frustasi dengan teman yg di berikan moonton drak sistem
Fajar Iqram,2024-10-27 15:37:49,Kalo kasih tim yang ngotak dikit
Daris Yusuf,2024-10-27 15:37:38,Memang seru kali apalagi dyrott nya ama beatrix nya sakit bener
yogi afkar,2024-10-27 15:37:35,Tolong di perbaiki saat bermain ketika sesudah kalah jangan di beri musuh yang kuat karena sekali kalah kalah Mulu sesuai peringkat contohnya epic 1 dengan epic 1
Arvey Pp,2024-10-27 15:36:47,game sampah tidak pernah ada feedback yang diberikan terhadap player lebih cocok bintang 0 game ampas
Bstian Ghndaa,2024-10-27 15:36:17,min tolong ini akun gua ketipu di custom di pause gabisa keluar
Mharis Haris M,2024-10-27 15:36:10,Monton ase aneuk haramjadah di jok ngon lage capok ka pegot jaringan lage ayah kh dum nyoe hn jeut ka kerja bek ka kerja ase
arvin ardiansyah,2024-10-27 15:36:05,tolong lahh monton saya lostrek 11 kalii kooo kalo gk percayini akun ku ARI£S
Baru Baru,2024-10-27 15:33:40,Game stres match GK sesuai
Fathir Rachmat,2024-10-27 15:33:36,Enak banget gila
Ideal Ponsel,2024-10-27 15:33:10,"Sangat tidak adil dan merugikan,sengaja di seting oleh montoon kadang2 membuat player bermain leg patah patah,,drama montoon kelewatan"
1_Rakha Adriano U.P,2024-10-27 15:31:59,Game haraaamm a*u
Deigo Mohammad,2024-10-27 15:31:52,Mantap
Yoga Dwi Ardiyanto,2024-10-27 15:30:50,"Proses Matchmaking yang sangat buruk, pemilihan tim yang tidak sesuai. Setiap losestreak 4 kali trs dikasih lawan bot. Begitu seterusnya. MATCHMAKING SAMPAH NI GAME!!"
Mahrizal Putra,2024-10-27 15:30:45,GAME TOLOL. JELAS2 FEEDER GAK DI KASIH HUKUMAN. MALES MAIN SUDAH GUE HAPUS
Cep' 93,2024-10-27 15:30:26,Untuk game ML SEMOGA aja cepet banyak yg pensiun. Untuk setingan game 3 -4 kali menang tolong kalah nya hrs 10 kali. Biar cepet game nya kelar ga laku lagi.
Messi Selian,2024-10-27 15:29:47,game nya asik
Agus,2024-10-27 15:29:09,Woi moonton anjeng babi kau bodoh akun baru jangan dicampur sama akun lama atau level kecil jangan dicampur level besar
Asil 9,2024-10-27 15:28:52,BAGI DIAMOND DONG MONTON PLISS
Fachri Gunawan,2024-10-27 15:28:33,game nyaa baguss tolong draft pick nyaa tim saya bener semua
Evi Yulianti,2024-10-27 15:28:20,Monton makin parah bugh nya makin banyak sinyal parah g jelas update tiap Minggu tp malah makin parah
Zainul Alim,2024-10-27 15:28:08,Tolong di update lebih bagus soal nya setiap kali main itu kalo kalah turun bintang minus -1 pertandingan nya aj susah masak minus bintang -1 tolong di update banyak juga yg nyesal tiap main rank kalau kalah turun bintang minus -1 itu pun prustasi buat main rank tolong di update lagi
Stria Ade putra,2024-10-27 15:26:52,saya menemukan player dengan akun yang sangat tidak pantas/tidak jelas saya harap monton bisa memperbaiki pencarian pertandingan agar setara dan tidak mendapat player bot dalam kedua timm ini sangatlah meresah kan bagi pleyer mohon di perbaiki I found a player with a very inappropriate/unclear account. I hope Monton can fix the match search so that it is equal and does not get bot players in both teams. This is very bad.
Arif Putraprasetyo,2024-10-27 15:26:35,Lebih banyak drak sistem
Yusuf Mozel,2024-10-27 15:26:33,Knpa gue dpt teman bot mulu taimonton
