userName,at,content
Xh. Kate.,2024-10-28 01:45:45,"Meskipun aku main gamenya di laptop dari segi grafik, gameplay, mekanik bahkan story bagus banget. Kuro selalu mengutamakan kenyamanan player, bahkan kuro sudah banyak improve. Semangat Kuro! Dan jangan menyerah ya walaupun banyak yang menjatuhkan game kalian. We love you Kuro ☺️♥️"
M Pauji,2024-10-28 01:30:23,"mulai dari story,gameplay,dan karakter bagus namun masih ada beberapa bug yg harus di perbaiki tapi overall tetap bagus"
rafli nonto,2024-10-28 00:37:35,"game nya sih bagus karakter dan story nya bgus tapi sayangnya GK ada bahasa indonesia nya ,player indo kebanyakan GK bisa bahasa inggris jadi banya yg tidak tertarik dengan wuthering waves tidak kaya game sebelah ada bahasa indonesia nya jadi byk yg minat juga aku harap kedepannya di Adain BHS Indonesia nya"
Vinilex,2024-10-27 19:09:50,Game bagus
JRO,2024-10-27 16:09:03,"Overall goodjoob, saya harap ada subtitle indonesianya untuk mempermudah player indonesia untuk yang tidak bisa berbahasa inggris"
Zaki Fawaz Syah,2024-10-27 15:59:38,lol game
Gilang,2024-10-27 15:45:04,overall good
Agus Syahrudin,2024-10-27 15:11:46,"mantap grafis nya dan sudah banyak perbaikan, tolong diperbanyak event hero dengan gratis gatcha nya trims"
Zerov Truesdale,2024-10-27 14:34:09,"GOOD STORY, HIGH MECHANICS BATTLE LIKE DODGING & PARRYING. I REALLY LIKE IT. CAN YOU ADD BACK LOG FOR STORY? SOMETIMES I TAP TOO FAST I ACCIDENTALLY SKIP THE STORY. WITH BACK LOG BUTTON I CAN READ BACK. SO, PLEASE ADD BACK LOG BUTTON NEXT UPDATE. ALSO PLEASE ADD VA KANA UEDA FROM JAPAN. SORRY TOO MUCH REQUEST & THANK YOU. KEEP UP THE GOOD WORK"
Nabil St.,2024-10-27 12:22:44,So far so good
Evellyn Shadow Dragon,2024-10-27 11:45:14,"Best game ever! Don't stop making the progres, we will always support you! <3"
Indra Wijaya,2024-10-27 11:17:51,"team wuthering waves, when i'm login, it's keep stuck on the loading screen, help 🥲😅"
izmu fhadil,2024-10-27 10:04:20,tolong perbaiki masalah koneksi internet nya pas ketemu musuh yg banyak ping ini game suka merah terus tapi pas jalan sendiri ping nya hijau tolong perbaiki lagi terima kasih
ditosa Bartender,2024-10-27 09:40:14,Good job...
BLUE BEACON,2024-10-27 09:07:38,So good
Naruhoto Naru,2024-10-27 08:20:49,Verry nice story' :)
Zamir Alfarizi,2024-10-27 06:48:45,trashh🤮🤮
Minecraft Poruruu,2024-10-27 06:27:05,game baik #3
Muhammad - kun,2024-10-27 05:50:55,Hadeh sayang banget ngak bisa nih main di hp Oppo A 17
Waifu Kurumi,2024-10-27 05:50:33,Buat ringan.optimalisasi versi android. Mapp nya bervariasi shader juga lama banget tolong di perbaiki
Yuan Resky,2024-10-27 05:24:48,Mantap ji ini game. Keren mentong grafisnya.
Ridwan Muhammad,2024-10-27 04:27:19,Saya suka dev tolong dong tambahin karakternya sedikit banget
Aryandhika Wicaksono Putra,2024-10-27 04:18:58,"Tambah berat dan jadi sering banget force close,kalau bisa tambahkan settingan VSync di dalam pengaturan gamenya"
Yoo,2024-10-27 04:17:40,Game bagus namun saya sangat berharap game ini memilki subtitle bahasa Indonesia
Raghib Yeager,2024-10-27 01:41:22,When will there be Indonesian subtitles in the game?We Indonesian players have a hard time enjoying the game story.
Hasan,2024-10-27 01:38:06,hun bagus
Cecep Hidayat,2024-10-26 21:35:55,"Game gini gk ada event nya atau apa? Masa tiap hari cuman main misi harian, sama bantai monster echo doang. Bosen lah bro"
Arham Satrio,2024-10-26 20:02:15,Ni gamenya yang berat apa device gw yang gak mampu? Perasaan genshin rendah bisa dapet 60 fps ni dah mentok kiri masih frame drop.
Andi Pratama 123,2024-10-26 19:51:15,"I'm Very Disappointed, I've Spent a Lot of My Internet Quota Here, But When In The Middle Of The Update, I Can't Log In And Stuck At 23%! I'm Really Disappointed"
M Daffa Dwi ariski,2024-10-26 16:50:37,"Ouch, the fps and ping in the game aren't updated,"" serra Compling shader takes a really long time to load, I swear.."
kiki Firdaus,2024-10-26 16:00:57,bagus
Salbia Wa,2024-10-26 15:55:51,mantap👍
ariev my,2024-10-26 13:39:01,Lebih nice
Yaqin Nurul,2024-10-26 11:20:43,Game yg sangat bagus
Shafira aulia Nisa,2024-10-26 11:08:50,"Lebih lag dari awal rilis, biasa make grafik rata kanan di semua game RPG juga lancar aja, wuthering wave juga lancar, tapi waktu update 1.1 malah lag, hampir ga bisa main, mau masuk game nya juga sering keluar sendiri, padahal memori belum full, terus juga desain karakter nya agak aneh gitu.."
Philipus Eko Nugroho (Jati),2024-10-26 10:47:36,"Good Game 👍 No need any reason for a good game, keep going and update and add more gifts, will support forever 👍"
AZIZ Yahya,2024-10-26 10:39:32,"Bagus tapi bermasalah, pada jaringan aja yg kurang stabil."
OM Golov,2024-10-26 10:34:49,"GAME BAGUS CUMAN 5 JUTA DOWNLOAD KARENA SETIAP UPDATE HARUS INSTAL ULANG DAN GA ADA BAHASA INDONESIA? DEV KURANG PROMOSI NIH DI INDONESIA, PANTES SEPI, PERBANYAK JUGA EVENT DAN JANGAN PELIT BANSOS"
Muhammad Zahir Zain,2024-10-26 09:54:03,KEREN BANGET CERITANYA ANJERRRRR
fikri forensik,2024-10-26 09:46:35,game dengan kualitas hd dan asik untuk dimainkan 🫶
Veldanava Great Of Saga,2024-10-26 09:21:41,ngelaagggggg
Wahyu Bagus lelana,2024-10-26 09:08:15,Lupa ngasih bintang 1
Farel Ihsan,2024-10-26 08:08:59,Sejauh ini bagus tapi ada sedikit masukan 1. Story awal yang lumayan kurang tolong buat cerita nya lebih menarik lagi 2.animasi ultimate skill character kalo bisa jangan itu itu aja buat lebih bervariasi Itu aja sejauh ini udh seru terutama dari gameplay fight nya semangat
EIN,2024-10-26 07:49:20,Terimakasih untuk fitur gamepadnya. Next bisakah ada skin untuk karakter 😊
F2pGaming 999,2024-10-26 06:48:27,"Perlu optimalisasi lagi,saya berharap di bagian menu fps jangan di turun kan menjadi 30 fps, semoga saja untuk update kedepannya bisa 60 fps dan saat battle bisa lebih smooth lagi."
Iswa123 GAUL,2024-10-26 06:40:30,akan saya tambahkan jika bahasa indonesia tersedia
Dio part 2,2024-10-26 05:29:14,i lup jinshi
Ari Ramadhan Saja,2024-10-26 05:17:30,baru nyoba
Narendra,2024-10-26 05:15:28,"Camellya please come home, im begging 🙏🙏"
Ijath Betro,2024-10-26 04:38:00,"tolong perbaiki sinyal nya, saya pengguna WiFi faznet sinyal kalo main genshin hsr dll, bagus2 aja tapi kalo masuk ke wuwa gak bisa harus pake data,kenapa ya kalo mau update pun harus pake data dan itu sangat boros sekali padahal saya udh ada WiFi, TOLONG PERBAIKI SECEPATNYA!!🙏"
clarissa putri,2024-10-26 03:32:35,"Loading lama pdhl jaringan full bahkan buat teleport aja bisa lama, sering nge freeze pdhl segitu jaringan nya bagus"
Agus Sudijanto,2024-10-26 01:45:19,good game like it
Hx 'Dsgn,2024-10-26 00:54:59,Poggers
Zero Hyoudo,2024-10-26 00:39:32,"Saran aja buat developer biar di optimalkan nih,sering lag dan force close"
Armandani,2024-10-25 23:32:54,Terimakasih kuro game udah buat game sebagus ini
Tasha Rahma,2024-10-25 23:32:13,Ga bisa ngerjain event yg sekarang. Karena makin Lag. Gatau patch kedepan nya. Padahal patch 1.0 lancar banget main ni game.
Agung Yaudah,2024-10-25 22:09:18,Waw sangat bagus sekali
Muhammad Zaid Abil,2024-10-25 18:24:18,Keren🥰🤩
Ram Dhan,2024-10-25 15:37:46,mantull sekalii
Mohamad Rivaldi,2024-10-25 12:50:04,keren aku jadi ngaceng
Tri Wijaya,2024-10-25 12:48:21,"Rada berat aja hehehe, mungkin hp ku yang gak kuat"
Muhammad Naufal Muzakki,2024-10-25 12:28:10,Game baik
Husein Abubakar Alhaddar,2024-10-25 11:58:18,Gem nya sum pah karena bangat kalo ada yang baca ini harus don lot sih soal nya karena sih👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍
lizhou youwei,2024-10-25 11:22:15,loadingnya mayan lama walaupun sinyal wifi sangat baik
akuuu ganteng bangettt,2024-10-25 08:49:56,cerita yg menarik
Alif NandaPutra,2024-10-25 08:11:50,Gamenya bagus tapi saat gua main ngelag crash ama sinyalnya tolong di atur lagi dan juga data dalamnya di turunin dikit jadi 11Gb atau 14Gb aja Jagan di tinggi in lagi
Muhammad Nazil,2024-10-25 07:27:25,saat gacha animasinya keren gameplay yg memuaskan mata animasi setiap karakter keren² jalan cerita yg gak mudah ditebak
Zaidan Dhaffir,2024-10-25 07:25:13,Nice improvement... I hope this game gets even better and success
x ᴊᴀᴄᴋ,2024-10-25 07:07:55,"kenapaaaaaa!, setelah ofline beberapa bulan, akun saya hilang!!!!!!, padahal udah login dengan akun google, sudah main selama 2 bulan, KENAPAAAAAA!!!!!!!!"
zero komi,2024-10-25 06:40:50,force close
Damara Agung,2024-10-25 05:29:59,suka banget ama gameplaynya dan banyak bonus buat gacha juga.tapi minusnya suka ngebug tiba tiba tolong sedikit diperbaiki
4IA02_Raihan Alyfan Sardi,2024-10-25 01:45:10,Selama saya main pc atau hp semuanya lancar yang bilang nge lag atau apala emang ampas hp ama pcnya minimal baca reqnya jangan asal download + jangan asal kasih bintang
ulil hakim,2024-10-24 22:13:01,five star for masterpiece encore Companion story ⭐⭐⭐⭐⭐
Hyxx JayKoo,2024-10-24 21:55:28,"sementara bintang 3 dulu,kalo dah ada sub indonesia nya gua kasih bintang 5,coba buat sub indonesia nya saya yakin pasti banyak player indo yang main"
kharisma madani,2024-10-24 21:46:18,BEST EVER GAME
Sakti Cahya Kusuma,2024-10-24 21:19:00,every update becoming more like genshin impact
Rein Nahil,2024-10-24 20:23:41,"game yang sangat mengasyikkan, design karakter menawan, dan story yang mendebarkan."
Syahdan Maulana,2024-10-24 17:43:47,lumayan untuk sekelas game yang sangat bagus
ieren vhent juu,2024-10-24 17:17:17,mantap
Jayszeelarsh 233,2024-10-24 16:21:09,"Nice game , please add Indonesian subtitle"
Wahyu Chevalier,2024-10-24 16:09:54,game baik
DIMAS I DAMICHI EDITZ,2024-10-24 15:35:19,good
Deva Prastya,2024-10-24 15:19:48,"Overall sudah ada improve, saran tingkatkan variasi event tiap patchnya, kurangi event yg bersifat repetitif. Semoga terus berkembang."
kaguya arsnova,2024-10-24 14:27:21,"ada solusi kah, saya topup lunites 6480 pembayaran dengan telkomsel tapi ditolak, dan pulsa saya tetap ditarik"
AFA,2024-10-24 13:13:15,"Best mobile game arpg ive played so far, story which started bad also getting better, and knowing its kuro, the music will improve too. 1.1 Kuro you madlad, this encore story hits so hard its so good, i though the changli companion quest is already peaked turns out you guys keep cooking, whoever makes this story board make sure to give him/her a raise, the writing the music the environment, insane dude 10/10, only in this game i spend money to support the dev, usually only to progress faster."
Ling Lung,2024-10-24 12:50:18,Camellya😋
Lord Id,2024-10-24 12:15:45,Mohon saat download data bisa di close soalnya saat di close apknya download data terhenti
Fiqri Abdillah,2024-10-24 11:37:20,i hope you guys make cloud version for this game so that all device from low to flagship can enjoy the game. the game is super good but still demand high tier device so yeah playing mid tier is kinna not recommended for now
Khanza Rachel,2024-10-24 10:08:59,"Kirain bagus, ternyata cuma skill aja yg bagus, pergerakannya gak lincah. Ditambah pas ada sayap. Makin jelek karakternya, kenapa dikasih sayap...."
Dinar Julia Syakbani 10,2024-10-24 10:08:24,game baik
Candra Nurrohman,2024-10-24 08:38:20,"I'm here, from the beginning of playing version 1.0 until now, the game is much different and lighter, it's good"
M. AINAL MUKRIM H,2024-10-24 07:44:37,"Overall Bagus semua, Makin lancar++ Optimisasi buat semuanya dari karakter change, skill, delay, Nice Story, music Tho, Thanks to all Dev🥺🥺"
Handuk Hansum,2024-10-24 07:20:56,Lag oi
Irfan Kosasih,2024-10-24 06:21:23,Please update the Indonesian language so you can understand the details of quests and items and others in the game
RizKinG,2024-10-24 06:13:14,TAMBAHKAN BAHASA INDONESIA PLEASE!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!
Ragil Rizki Ardiyanto,2024-10-24 05:04:16,Encore new companion story is executed so well
Raden Chilik,2024-10-24 03:56:18,Ayo dong kasih bahasa Indonesia developer please ni. Game punya peluang di Indonesia
Willy Hartopo,2024-10-24 03:48:37,"kuro games, I know you're good, so give me a win rate off okay :)"
Rendi Gaming,2024-10-24 00:16:45,mantap
Tree,2024-10-23 23:52:28,"Kuro Game yang baik hati dan yang di cintai para player nya😘, pliss banget 🙏🏼🙏🏼🙏🏼 tambahkan bahasa Indonesia, saya kurang dalam bahasa Inggris😔, jadi agak sulit dalam memahami story nya🥲, saya mohon sekali agar bahasa Indonesia dimasukkan di game Wuthering Waves, agar para player yang kurang dalam bahasa Inggris seperti saya😭, dapat menikmati atau memahami story yang di sajikan oleh Wuthering Waves.😁👍😁👍😁👍"
Dark IDシ,2024-10-23 23:40:16,Good👍
Andika kurnia Dwi atmaja,2024-10-23 22:27:20,Absolute Cinema
Dkyh aa,2024-10-23 22:21:33,"Dari story not bad, Dari karakter wangy wangy, dan luamayan lah, tapi ada beberapa masalah seperti game tidak optimal fps sering tumpah tumpah, ayo Dev saya mau main game lancar"
Lohan Kuo,2024-10-23 20:00:23,Pingnya setinggi langit ketujuh
Changli Wuwa,2024-10-23 19:16:55,Sehat sehat game baik
andra pk,2024-10-23 16:39:25,Masih ada beberapa bug delay belum optimal
RITMO Ӝ̵̨̄,2024-10-23 15:54:13,Now Its fixed thankyou so much
Fathir Septia irawan,2024-10-23 15:53:27,Aplikasinya eror keluar sendiri padahal baru download dan ingin download data
Jojoh Hodijah,2024-10-23 15:18:07,Saya harap semoga lain kali di beri keberuntungan karena selalu berada di pinty 70 mulu
Dimas Adriansyah,2024-10-23 15:13:54,"Dahlah, ampas."
Aditya Firmansyah,2024-10-23 15:09:42,Seru Cuman waktu dan battre cepat selesai
Ahmad Munif,2024-10-23 13:33:15,semuanya keren
Onii Chan,2024-10-23 13:12:38,"Game nya seru... Tapi males banget mainnya. Setiap main pasti Reconnect padahal jaringan bagus... Gitu terus hampir setiap 5 menit pasti Reconnect, benerin lah... Edit: udh bagus enak mainnya"
Hamadi,2024-10-23 13:07:29,Gamenya bagus cuma ngeleg
Aoba Hina,2024-10-23 12:10:59,absolutely peak
Yura,2024-10-23 12:00:14,"Sangat mantap, saya suka design character nya 👍🏿👍🏿👍🏿"
nagato 7,2024-10-23 11:13:23,tolong tambahkan bahasa indonesia
Abdul Qodir,2024-10-23 10:17:13,Why the game is always force close every 10 minutes i play
Anggita elsa h,2024-10-23 08:24:46,Okelah 🌻
Alexa,2024-10-23 08:16:20,"Sangat seru, cuman sering lag dan force close. Tolong untuk android diringankan supaya tidak patah-patah 🥲🙏"
Muhammad Farhan,2024-10-23 08:14:37,"Dari segi battle dan desain cukup bagus, tapi kedepannya tolong di optimasikan untuk hp mid-range agar tidak terlalu lag (walaupun rata kiri) dan tolong diberikan subtitle Indonesia."
Ditaker Gaming,2024-10-23 07:52:41,"Di hp rog phone 1 g bisa masuk, karena masih menggunakan driver lama"
Najamuddin,2024-10-23 07:14:46,"Kurang 1 fitur, create own character"
Adam Batu bara,2024-10-23 06:13:19,Add sub indo
SwitWet,2024-10-23 05:25:33,"Bagus suka banget, tapi mungkin sampai sini dulu petualanganku Setelah upgrade device baru main lagi, gak kuat hp gweeeh wkwkwkw"
zifir aja,2024-10-23 05:22:57,"plis lah gua cuma pengen main ini game,masa stuck di download compling shader nya n sih,rusak nih game di Infinix gua"
ereza senpai,2024-10-23 04:41:25,Nice update for me
Ana Rustriana,2024-10-23 04:36:44,story nya bagus
Dhilpa Khaydir,2024-10-23 03:58:56,Mantappp wuwa game baikk love u wuwaa
